timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-06-30 23:09:11,mlp umidade train,6640870e-c01f-4fa6-998d-e2edb6e97130,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.378.220.928.499.990,1.915.842.866.644,"8,06E+07",112.0,0.0,10.0,739.888.492.933.306,0.0,66.029.326.749.998,805.917.819.683.305,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.13.5,3.0.2,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,-71.2,46.8,1.571.001.434.326.170,machine,N,1.0
2025-06-30 23:43:00,mlp PRECIPITATION 100ep final,1ec593d9-7777-42a1-8dca-508416628c4c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,19.391.056.459.000.000,1.562.109.912.621,"8,06E+05",112.0,0.0,10.0,603.275.856.680.008,0.0,53.840.776.841.666,657.116.633.521.675,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.13.5,3.0.2,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,-71.2,46.8,1.571.001.434.326.170,machine,N,1.0
2025-07-01 19:59:27,mlp temperature train,d474f114-cb44-451d-a178-6a777d8b997a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.020.220.333.499.990,1.627.460.295.767,"8,06E+07",112.0,0.0,10.0,628.511.335.511.122,0.0,56.095.568.333.333,684.606.903.844.455,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.13.5,3.0.2,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,-71.2,46.8,1.571.001.434.326.170,machine,N,1.0
