timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-06-29 23:57:06,xgboost precipiptation train 0.8,756b08b1-32eb-41b7-b9b3-1bda634c5dc8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.918.244.644.000.070,"4,77E+10","8,06E+07",112.0,0.0,10.0,184.121.383.848.897,0.0,16.428.447.855.555,200.549.831.704.453,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.13.5,3.0.2,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,-71.2,46.8,1.571.001.434.326.170,machine,N,1.0
2025-06-30 00:06:36,xgboost temperature train 0.8,8887ea5c-b560-420e-8693-443eb430ef32,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.320.339.385.999.830,"4,29E+10","8,06E+07",112.0,0.0,10.0,165.520.866.062.272,0.0,14.768.281.788.893,180.289.147.851.165,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.13.5,3.0.2,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,-71.2,46.8,1.571.001.434.326.170,machine,N,1.0
2025-06-30 00:16:20,xgboost umidity train 0.8,caa834f9-b650-41d0-9f34-15a174b86f49,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.430.243.697.999.970,"4,37E+10","8,06E+07",112.0,0.0,10.0,168.940.131.951.159,0.0,15.073.981.191.673,184.014.113.142.833,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.13.5,3.0.2,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,-71.2,46.8,1.571.001.434.326.170,machine,N,1.0
